Time 	 E 	 L 	 Deviation in E 	 Deviation in L
3.26726e+00 	 -5.00000e-01 	 1.00000e+00	1.609823e-15 	 1.5543122344752192e-15
3.27982e+00 	 -5.00000e-01 	 1.00000e+00	1.498801e-15 	 1.5543122344752192e-15
3.29239e+00 	 -5.00000e-01 	 1.00000e+00	1.332268e-15 	 1.3322676295501878e-15
3.30496e+00 	 -5.00000e-01 	 1.00000e+00	1.387779e-15 	 1.5543122344752192e-15
3.31752e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.5543122344752192e-15
3.33009e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
3.34265e+00 	 -5.00000e-01 	 1.00000e+00	1.665335e-15 	 1.7763568394002505e-15
3.35522e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
3.36779e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
3.38035e+00 	 -5.00000e-01 	 1.00000e+00	1.609823e-15 	 1.7763568394002505e-15
3.39292e+00 	 -5.00000e-01 	 1.00000e+00	1.720846e-15 	 1.7763568394002505e-15
