time 	 energy deviation
2.5572564200e-01 	 2.5500141814e-01
2.5635396053e-01 	 2.5500142888e-01
2.5698227906e-01 	 2.5500143968e-01
2.5761059759e-01 	 2.5500145053e-01
2.5823891613e-01 	 2.5500146145e-01
2.5886723466e-01 	 2.5500147241e-01
2.5949555319e-01 	 2.5500148344e-01
2.6012387172e-01 	 2.5500149452e-01
2.6075219025e-01 	 2.5500150566e-01
2.6138050878e-01 	 2.5500151686e-01
2.6200882731e-01 	 2.5500152811e-01
2.6263714584e-01 	 2.5500153942e-01
2.6326546437e-01 	 2.5500155079e-01
2.6389378290e-01 	 2.5500156222e-01
2.6452210143e-01 	 2.5500157371e-01
2.6515041996e-01 	 2.5500158525e-01
2.6577873849e-01 	 2.5500159685e-01
2.6640705702e-01 	 2.5500160852e-01
2.6703537556e-01 	 2.5500162024e-01
2.6766369409e-01 	 2.5500163202e-01
2.6829201262e-01 	 2.5500164386e-01
2.6892033115e-01 	 2.5500165575e-01
2.6954864968e-01 	 2.5500166771e-01
2.7017696821e-01 	 2.5500167973e-01
2.7080528674e-01 	 2.5500169181e-01
2.7143360527e-01 	 2.5500170394e-01
2.7206192380e-01 	 2.5500171614e-01
2.7269024233e-01 	 2.5500172840e-01
2.7331856086e-01 	 2.5500174072e-01
2.7394687939e-01 	 2.5500175310e-01
2.7457519792e-01 	 2.5500176554e-01
2.7520351645e-01 	 2.5500177804e-01
2.7583183499e-01 	 2.5500179061e-01
2.7646015352e-01 	 2.5500180323e-01
2.7708847205e-01 	 2.5500181592e-01
2.7771679058e-01 	 2.5500182867e-01
2.7834510911e-01 	 2.5500184148e-01
2.7897342764e-01 	 2.5500185435e-01
2.7960174617e-01 	 2.5500186729e-01
2.8023006470e-01 	 2.5500188029e-01
2.8085838323e-01 	 2.5500189335e-01
2.8148670176e-01 	 2.5500190647e-01
2.8211502029e-01 	 2.5500191966e-01
2.8274333882e-01 	 2.5500193291e-01
2.8337165735e-01 	 2.5500194622e-01
2.8399997588e-01 	 2.5500195960e-01
2.8462829442e-01 	 2.5500197304e-01
2.8525661295e-01 	 2.5500198655e-01
2.8588493148e-01 	 2.5500200012e-01
2.8651325001e-01 	 2.5500201376e-01
2.8714156854e-01 	 2.5500202746e-01
2.8776988707e-01 	 2.5500204122e-01
2.8839820560e-01 	 2.5500205505e-01
2.8902652413e-01 	 2.5500206894e-01
2.8965484266e-01 	 2.5500208291e-01
2.9028316119e-01 	 2.5500209693e-01
2.9091147972e-01 	 2.5500211102e-01
2.9153979825e-01 	 2.5500212518e-01
2.9216811678e-01 	 2.5500213940e-01
2.9279643531e-01 	 2.5500215369e-01
2.9342475385e-01 	 2.5500216805e-01
2.9405307238e-01 	 2.5500218247e-01
2.9468139091e-01 	 2.5500219696e-01
2.9530970944e-01 	 2.5500221152e-01
2.9593802797e-01 	 2.5500222615e-01
2.9656634650e-01 	 2.5500224084e-01
2.9719466503e-01 	 2.5500225560e-01
2.9782298356e-01 	 2.5500227043e-01
2.9845130209e-01 	 2.5500228532e-01
2.9907962062e-01 	 2.5500230029e-01
2.9970793915e-01 	 2.5500231532e-01
3.0033625768e-01 	 2.5500233042e-01
3.0096457621e-01 	 2.5500234559e-01
3.0159289474e-01 	 2.5500236083e-01
3.0222121328e-01 	 2.5500237614e-01
3.0284953181e-01 	 2.5500239152e-01
3.0347785034e-01 	 2.5500240696e-01
3.0410616887e-01 	 2.5500242248e-01
3.0473448740e-01 	 2.5500243807e-01
3.0536280593e-01 	 2.5500245372e-01
3.0599112446e-01 	 2.5500246945e-01
3.0661944299e-01 	 2.5500248525e-01
3.0724776152e-01 	 2.5500250112e-01
3.0787608005e-01 	 2.5500251706e-01
3.0850439858e-01 	 2.5500253307e-01
3.0913271711e-01 	 2.5500254915e-01
3.0976103564e-01 	 2.5500256531e-01
3.1038935417e-01 	 2.5500258153e-01
3.1101767271e-01 	 2.5500259783e-01
3.1164599124e-01 	 2.5500261420e-01
3.1227430977e-01 	 2.5500263064e-01
3.1290262830e-01 	 2.5500264716e-01
3.1353094683e-01 	 2.5500266375e-01
3.1415926536e-01 	 2.5500268041e-01
3.1478758389e-01 	 2.5500269714e-01
3.1541590242e-01 	 2.5500271395e-01
3.1604422095e-01 	 2.5500273083e-01
3.1667253948e-01 	 2.5500274778e-01
3.1730085801e-01 	 2.5500276481e-01
3.1792917654e-01 	 2.5500278191e-01
3.1855749507e-01 	 2.5500279909e-01
3.1918581360e-01 	 2.5500281634e-01
3.1981413214e-01 	 2.5500283367e-01
3.2044245067e-01 	 2.5500285107e-01
3.2107076920e-01 	 2.5500286855e-01
3.2169908773e-01 	 2.5500288610e-01
3.2232740626e-01 	 2.5500290372e-01
3.2295572479e-01 	 2.5500292143e-01
3.2358404332e-01 	 2.5500293921e-01
3.2421236185e-01 	 2.5500295706e-01
3.2484068038e-01 	 2.5500297499e-01
3.2546899891e-01 	 2.5500299300e-01
3.2609731744e-01 	 2.5500301109e-01
3.2672563597e-01 	 2.5500302925e-01
3.2735395450e-01 	 2.5500304749e-01
3.2798227303e-01 	 2.5500306581e-01
3.2861059157e-01 	 2.5500308420e-01
3.2923891010e-01 	 2.5500310267e-01
3.2986722863e-01 	 2.5500312122e-01
3.3049554716e-01 	 2.5500313985e-01
3.3112386569e-01 	 2.5500315856e-01
3.3175218422e-01 	 2.5500317735e-01
3.3238050275e-01 	 2.5500319621e-01
3.3300882128e-01 	 2.5500321515e-01
3.3363713981e-01 	 2.5500323418e-01
3.3426545834e-01 	 2.5500325328e-01
3.3489377687e-01 	 2.5500327246e-01
3.3552209540e-01 	 2.5500329173e-01
3.3615041393e-01 	 2.5500331107e-01
3.3677873246e-01 	 2.5500333049e-01
3.3740705100e-01 	 2.5500335000e-01
3.3803536953e-01 	 2.5500336958e-01
3.3866368806e-01 	 2.5500338925e-01
3.3929200659e-01 	 2.5500340899e-01
3.3992032512e-01 	 2.5500342882e-01
3.4054864365e-01 	 2.5500344873e-01
3.4117696218e-01 	 2.5500346872e-01
3.4180528071e-01 	 2.5500348880e-01
3.4243359924e-01 	 2.5500350895e-01
3.4306191777e-01 	 2.5500352919e-01
3.4369023630e-01 	 2.5500354952e-01
3.4431855483e-01 	 2.5500356992e-01
3.4494687336e-01 	 2.5500359041e-01
3.4557519189e-01 	 2.5500361098e-01
3.4620351043e-01 	 2.5500363163e-01
3.4683182896e-01 	 2.5500365237e-01
3.4746014749e-01 	 2.5500367320e-01
3.4808846602e-01 	 2.5500369410e-01
3.4871678455e-01 	 2.5500371510e-01
3.4934510308e-01 	 2.5500373617e-01
3.4997342161e-01 	 2.5500375733e-01
3.5060174014e-01 	 2.5500377858e-01
3.5123005867e-01 	 2.5500379991e-01
3.5185837720e-01 	 2.5500382133e-01
3.5248669573e-01 	 2.5500384284e-01
3.5311501426e-01 	 2.5500386443e-01
3.5374333279e-01 	 2.5500388610e-01
3.5437165132e-01 	 2.5500390787e-01
3.5499996986e-01 	 2.5500392971e-01
3.5562828839e-01 	 2.5500395165e-01
