t/T 	 E_L 	 E_K  
4609.399995 	 0.000063996428 	 0.004854419561 
4609.548321 	 0.000051350425 	 0.004854521984 
4609.696648 	 0.000033978706 	 0.004854321990 
4609.844975 	 0.000015591605 	 0.004854328364 
4609.993301 	 0.000002641349 	 0.004854812708 
4610.141628 	 0.000000807619 	 0.004855679087 
4610.289955 	 0.000010958595 	 0.004856639192 
4610.438281 	 0.000028483172 	 0.004857441897 
4610.586608 	 0.000046692403 	 0.004857979488 
4610.734935 	 0.000060881443 	 0.004858269427 
4610.883262 	 0.000069791556 	 0.004858388976 
4611.031588 	 0.000074494664 	 0.004858420464 
4611.179915 	 0.000076661648 	 0.004858422957 
4611.328242 	 0.000077567817 	 0.004858422824 
4611.476568 	 0.000077918406 	 0.004858412044 
4611.624895 	 0.000078036377 	 0.004858348672 
4611.773222 	 0.000078063111 	 0.004858161724 
4611.921548 	 0.000078064474 	 0.004857769982 
4612.069875 	 0.000078064369 	 0.004857126579 
4612.218202 	 0.000078049876 	 0.004856289062 
4612.366528 	 0.000077969050 	 0.004855479027 
4612.514855 	 0.000077709737 	 0.004855052052 
4612.663182 	 0.000077019749 	 0.004855312026 
4612.811508 	 0.000075331512 	 0.004856241227 
4612.959835 	 0.000071545960 	 0.004857398828 
4613.108162 	 0.000064049471 	 0.004858194930 
4613.256488 	 0.000051432260 	 0.004858365406 
4613.404815 	 0.000034079188 	 0.004858174371 
4613.553142 	 0.000015681688 	 0.004858133057 
4613.701468 	 0.000002684495 	 0.004858557148 
4613.849795 	 0.000000783579 	 0.004859390606 
4613.998122 	 0.000010878851 	 0.004860355079 
4614.146449 	 0.000028382023 	 0.004861186037 
4614.294775 	 0.000046603113 	 0.004861757256 
4614.443102 	 0.000060819867 	 0.004862074090 
4614.591429 	 0.000069756594 	 0.004862209902 
4614.739755 	 0.000074477665 	 0.004862248431 
4614.888082 	 0.000076654278 	 0.004862252380 
4615.036409 	 0.000077564865 	 0.004862252307 
4615.184735 	 0.000077917330 	 0.004862244432 
4615.333062 	 0.000078036070 	 0.004862190882 
4615.481389 	 0.000078063073 	 0.004862023638 
4615.629715 	 0.000078064476 	 0.004861660946 
4615.778042 	 0.000078064380 	 0.004861048292 
4615.926369 	 0.000078050064 	 0.004860226322 
4616.074695 	 0.000077969817 	 0.004859395341 
4616.223022 	 0.000077711944 	 0.004858901159 
4616.371349 	 0.000077025384 	 0.004859068720 
4616.519675 	 0.000075344860 	 0.004859931706 
4616.668002 	 0.000071574504 	 0.004861094515 
4616.816329 	 0.000064102364 	 0.004861959879 
4616.964656 	 0.000051513951 	 0.004862202882 
4617.112982 	 0.000034179633 	 0.004862029206 
4617.261309 	 0.000015771928 	 0.004861945184 
4617.409636 	 0.000002727971 	 0.004862307891 
4617.557962 	 0.000000759897 	 0.004863103852 
4617.706289 	 0.000010799323 	 0.004864068527 
4617.854616 	 0.000028280889 	 0.004864925867 
4618.002942 	 0.000046513699 	 0.004865530909 
4618.151269 	 0.000060758135 	 0.004865875845 
4618.299596 	 0.000069721511 	 0.004866029240 
4618.447922 	 0.000074460595 	 0.004866075780 
4618.596249 	 0.000076646874 	 0.004866081651 
4618.744576 	 0.000077561899 	 0.004866081580 
4618.892902 	 0.000077916247 	 0.004866076035 
4619.041229 	 0.000078035762 	 0.004866031263 
4619.189556 	 0.000078063035 	 0.004865882445 
4619.337882 	 0.000078064477 	 0.004865547906 
4619.486209 	 0.000078064390 	 0.004864966547 
4619.634536 	 0.000078050250 	 0.004864163179 
4619.782862 	 0.000077970579 	 0.004863316701 
4619.931189 	 0.000077714139 	 0.004862760581 
4620.079516 	 0.000077030991 	 0.004862836399 
4620.227843 	 0.000075358149 	 0.004863626810 
4620.376169 	 0.000071602943 	 0.004864785072 
4620.524496 	 0.000064155107 	 0.004865714431 
4620.672823 	 0.000051595498 	 0.004866033482 
4620.821149 	 0.000034280039 	 0.004865885525 
4620.969476 	 0.000015862322 	 0.004865764483 
4621.117803 	 0.000002771775 	 0.004866065360 
4621.266129 	 0.000000736573 	 0.004866819436 
4621.414456 	 0.000010720013 	 0.004867779937 
4621.562783 	 0.000028179770 	 0.004868661482 
4621.711109 	 0.000046424163 	 0.004869300339 
4621.859436 	 0.000060696246 	 0.004869674519 
4622.007763 	 0.000069686305 	 0.004869846839 
4622.156089 	 0.000074443453 	 0.004869902415 
4622.304416 	 0.000076639435 	 0.004869910740 
4622.452743 	 0.000077558917 	 0.004869910679 
4622.601069 	 0.000077915158 	 0.004869906949 
4622.749396 	 0.000078035450 	 0.004869869960 
4622.897723 	 0.000078062996 	 0.004869738294 
4623.046050 	 0.000078064479 	 0.004869430915 
4623.194376 	 0.000078064401 	 0.004868881153 
4623.342703 	 0.000078050435 	 0.004868099104 
4623.491030 	 0.000077971336 	 0.004867242375 
4623.639356 	 0.000077716323 	 0.004866629842 
4623.787683 	 0.000077036572 	 0.004866615375 
4623.936010 	 0.000075371381 	 0.004867327654 
4624.084336 	 0.000071631275 	 0.004868471614 
4624.232663 	 0.000064207699 	 0.004869458752 
4624.380990 	 0.000051676901 	 0.004869856350 
4624.529316 	 0.000034380406 	 0.004869742305 
4624.677643 	 0.000015952870 	 0.004869590586 
4624.825970 	 0.000002815909 	 0.004869829913 
4624.974296 	 0.000000713607 	 0.004870537975 
4625.122623 	 0.000010640923 	 0.004871489747 
4625.270950 	 0.000028078668 	 0.004872393010 
4625.419276 	 0.000046334503 	 0.004873065457 
4625.567603 	 0.000060634200 	 0.004873469941 
4625.715930 	 0.000069650978 	 0.004873662542 
4625.864256 	 0.000074426240 	 0.004873728235 
4626.012583 	 0.000076631961 	 0.004873739611 
4626.160910 	 0.000077555920 	 0.004873739630 
4626.309237 	 0.000077914062 	 0.004873737265 
4626.457563 	 0.000078035137 	 0.004873707116 
4626.605890 	 0.000078062957 	 0.004873591339 
4626.754217 	 0.000078064480 	 0.004873310043 
4626.902543 	 0.000078064411 	 0.004872791955 
4627.050870 	 0.000078050618 	 0.004872033607 
4627.199197 	 0.000077972088 	 0.004871171632 
4627.347523 	 0.000077718495 	 0.004870508399 
4627.495850 	 0.000077042126 	 0.004870405849 
4627.644177 	 0.000075384554 	 0.004871035285 
4627.792503 	 0.000071659502 	 0.004872155319 
4627.940830 	 0.000064260141 	 0.004873193158 
4628.089157 	 0.000051758159 	 0.004873670721 
4628.237483 	 0.000034480733 	 0.004873598484 
4628.385810 	 0.000016043571 	 0.004873423026 
4628.534137 	 0.000002860370 	 0.004873601843 
4628.682463 	 0.000000690999 	 0.004874260084 
4628.830790 	 0.000010562052 	 0.004875198431 
4628.979117 	 0.000027977584 	 0.004876120617 
4629.127444 	 0.000046244722 	 0.004876826190 
4629.275770 	 0.000060571998 	 0.004877261941 
4629.424097 	 0.000069615528 	 0.004877476185 
4629.572424 	 0.000074408954 	 0.004877553129 
4629.720750 	 0.000076624452 	 0.004877568216 
4629.869077 	 0.000077552908 	 0.004877568455 
4630.017404 	 0.000077912960 	 0.004877567066 
4630.165730 	 0.000078034820 	 0.004877542869 
4630.314057 	 0.000078062917 	 0.004877441737 
4630.462384 	 0.000078064482 	 0.004877185379 
4630.610710 	 0.000078064420 	 0.004876698834 
4630.759037 	 0.000078050798 	 0.004875966240 
4630.907364 	 0.000077972836 	 0.004875103756 
4631.055690 	 0.000077720656 	 0.004874395654 
4631.204017 	 0.000077047653 	 0.004874207907 
4631.352344 	 0.000075397670 	 0.004874750670 
4631.500670 	 0.000071687624 	 0.004875837408 
4631.648997 	 0.000064312433 	 0.004876918106 
4631.797324 	 0.000051839271 	 0.004877475932 
4631.945650 	 0.000034581019 	 0.004877452982 
4632.093977 	 0.000016134423 	 0.004877261231 
4632.242304 	 0.000002905159 	 0.004877381364 
4632.390631 	 0.000000668751 	 0.004877986369 
4632.538957 	 0.000010483402 	 0.004878906500 
4632.687284 	 0.000027876518 	 0.004879844508 
4632.835611 	 0.000046154818 	 0.004880582490 
4632.983937 	 0.000060509638 	 0.004881050356 
4633.132264 	 0.000069579955 	 0.004881287600 
4633.280591 	 0.000074391595 	 0.004881376979 
4633.428917 	 0.000076616907 	 0.004881396504 
4633.577244 	 0.000077549880 	 0.004881397163 
4633.725571 	 0.000077911852 	 0.004881396427 
4633.873897 	 0.000078034502 	 0.004881377350 
4634.022224 	 0.000078062876 	 0.004881289645 
4634.170551 	 0.000078064484 	 0.004881057027 
4634.318877 	 0.000078064430 	 0.004880601704 
4634.467204 	 0.000078050978 	 0.004879896596 
4634.615531 	 0.000077973578 	 0.004879038048 
4634.763857 	 0.000077722805 	 0.004878290960 
4634.912184 	 0.000077053153 	 0.004878021527 
4635.060511 	 0.000075410729 	 0.004878474687 
4635.208838 	 0.000071715642 	 0.004879519133 
4635.357164 	 0.000064364575 	 0.004880634190 
4635.505491 	 0.000051920239 	 0.004881271438 
4635.653818 	 0.000034681263 	 0.004881304705 
4635.802144 	 0.000016225425 	 0.004881104537 
4635.950471 	 0.000002950274 	 0.004881168607 
4636.098798 	 0.000000646862 	 0.004881717419 
4636.247124 	 0.000010404975 	 0.004882614493 
4636.395451 	 0.000027775473 	 0.004883564924 
4636.543778 	 0.000046064794 	 0.004884334330 
4636.692104 	 0.000060447122 	 0.004884835030 
4636.840431 	 0.000069544259 	 0.004885096618 
4636.988758 	 0.000074374164 	 0.004885199659 
4637.137084 	 0.000076609327 	 0.004885224411 
4637.285411 	 0.000077546837 	 0.004885225760 
4637.433738 	 0.000077910737 	 0.004885225417 
4637.582064 	 0.000078034181 	 0.004885210687 
4637.730391 	 0.000078062835 	 0.004885135222 
4637.878718 	 0.000078064486 	 0.004884925104 
4638.027044 	 0.000078064439 	 0.004884500512 
4638.175371 	 0.000078051155 	 0.004883824311 
4638.323698 	 0.000077974317 	 0.004882973829 
4638.472025 	 0.000077724944 	 0.004882193634 
4638.620351 	 0.000077058627 	 0.004881846583 
4638.768678 	 0.000075423730 	 0.004882208115 
4638.917005 	 0.000071743554 	 0.004883201758 
4639.065331 	 0.000064416568 	 0.004884342134 
4639.213658 	 0.000052001061 	 0.004885056821 
4639.361985 	 0.000034781464 	 0.004885152574 
4639.510311 	 0.000016316576 	 0.004884952183 
4639.658638 	 0.000002995715 	 0.004884963612 
4639.806965 	 0.000000625332 	 0.004885453797 
4639.955291 	 0.000010326771 	 0.004886322978 
4640.103618 	 0.000027674448 	 0.004887282150 
4640.251945 	 0.000045974648 	 0.004888081711 
4640.400271 	 0.000060384449 	 0.004888615814 
4640.548598 	 0.000069508440 	 0.004888903063 
4640.696925 	 0.000074356660 	 0.004889021036 
4640.845251 	 0.000076601711 	 0.004889051868 
4640.993578 	 0.000077543779 	 0.004889054240 
4641.141905 	 0.000077909616 	 0.004889054095 
4641.290231 	 0.000078033857 	 0.004889042999 
4641.438558 	 0.000078062793 	 0.004888978626 
4641.586885 	 0.000078064487 	 0.004888789738 
4641.735212 	 0.000078064448 	 0.004888395234 
4641.883538 	 0.000078051331 	 0.004887749064 
4642.031865 	 0.000077975050 	 0.004886910451 
4642.180192 	 0.000077727071 	 0.004886102963 
4642.328518 	 0.000077064075 	 0.004885682847 
4642.476845 	 0.000075436675 	 0.004885951626 
4642.625172 	 0.000071771363 	 0.004886886537 
4642.773498 	 0.000064468411 	 0.004888042785 
4642.921825 	 0.000052081737 	 0.004888831800 
4643.070152 	 0.000034881622 	 0.004888995530 
4643.218478 	 0.000016407876 	 0.004888803326 
4643.366805 	 0.000003041482 	 0.004888766324 
4643.515132 	 0.000000604162 	 0.004889196033 
4643.663458 	 0.000010248791 	 0.004890032548 
4643.811785 	 0.000027573445 	 0.004890996509 
4643.960112 	 0.000045884382 	 0.004891824663 
4644.108438 	 0.000060321619 	 0.004892392570 
4644.256765 	 0.000069472498 	 0.004892706759 
4644.405092 	 0.000074339082 	 0.004892840968 
4644.553419 	 0.000076594060 	 0.004892878795 
4644.701745 	 0.000077540705 	 0.004892882590 
4644.850072 	 0.000077908489 	 0.004892882515 
